домен	платформа	головна_код	головна_байт	головна_заслон	головна_секунд	розділ_url	розділ_заслон	речей_на_сторінці	кандидатів_карток	пагінація	картка_url	картка_ld	картка_og	картка_ціна	картка_характеристик	картка_фото	картка_розмірів	картка_склад	назва	назва_російська	мова_html	hreflang	sitemap	products_json	wc_store	фіди	мережа_json	секунд	помилки
cher17.com	WordPress,Хост:cloudflare	200	720028	ні	3.9	https://cher17.com/product-category/sukni	так	0	0												uk		403/0	403/-	403/-	0	5	72.8	картка не знайдена серед 0 кандидатів
gepur.com	Next.js,Хост:cloudflare	200	154984	ні	3.9	https://gepur.com/uk/catalog/obuv	ні	0	17		https://gepur.com/uk/product/tufli-50634	True	False	True	0	31	31	False	Чорні лофери із натуральної замші	False	uk	en,ru-ua,uk-ua	200/1224	404/-	404/-	0	34	22.6	
yulashop.com.ua	Хорошоп	200	280166	ні	3.8	https://yulashop.com.ua/		16	49		https://yulashop.com.ua/zhaket-zhinochyi-dolphine-yula/	False	True	True	10	38	33	True	Жіночий жакет з вовни Dolphine	False	uk	ru,uk	200/3/індекс	404/-	404/-	0	8	11.7	
vittorossi.ua	Bitrix	200	261076	ні	6.4	https://vittorossi.ua/ua/		12	12		https://vittorossi.ua/ua/shop/h782_z515_1_bayka_chorniy.html	False	False	True	2	18	46	False	Ботильйони  VS000085556	False	uk-UA	ru-UA,uk-UA,x-default	200/5/індекс	404/-	200/-	1	10	24.4	
miraton.ua	Bitrix	200	895770	ні	5.2	https://www.miraton.ua/ua/catalog/uhod/	ні	32	38	PAGEN_1=+ще	https://www.miraton.ua/ua/catalog/uhod/_000204760/	True	False	False	2	12	314	False	Піна для чистки взуття IN Clean, 150мл (Піна для чистки взуття inclean 150мл)	False	ua	ru,uk	200/8/індекс	404/-	404/-	1	21	14.7	
sezone.ua	Хорошоп	200	198617	ні	2.6	https://sezone.ua/		16	28		https://sezone.ua/spidnytsia-do-kolina-2492-499-molochnyi-34/	False	True	True	19	78	51	False	Спідниця до коліна (2492), 499 молочний, 34	False	uk	ru,uk	200/3/індекс	404/-	404/-	0	9	9.0	
dolcedonna.com.ua	OpenCart,Хост:cloudflare	200	202752	ні	2.7	https://dolcedonna.com.ua/		35	52		https://dolcedonna.com.ua/4439-viskoznaya-cveta-elektrik-kofta-svobodnogo-kroya-s-cvetochnym-printom-i-dekorativnymi-zavyazkami-gammi/	True	True	True	24	14	42	True	Віскозна кольору електрик кофта вільного крою з принтом квітки та декоративними зав'язками Гаммі	False	ua	en-UA,ru-UA,uk-UA	200/1091	404/-	404/-	0	0	6.7	
stolyarchuk.com.ua	OpenCart,Хост:cloudflare	200	298242	ні	3.7	https://stolyarchuk.com.ua/katalog/sukni	ні	0	25	/page-2,/page-3,/page-4,/page-5,/page-6,/page-7	https://stolyarchuk.com.ua/katalog/sukni/modjel_1081_shokolad	True	False	True	12	10	23	False	Сукня №1081 шоколад	False	uk	en,uk,x-default	200/1726	404/-	404/-	0	5	22.8	
ricamare.com.ua	Хорошоп	200	246210	ні	5.4	https://ricamare.com.ua/		8	46		https://ricamare.com.ua/olimpiyka-vishivka/4078/	False	True	True	0	75	61	False	Олімпійка з вишивкою (2, S, Hibiscus red, червоний)	False	uk	ru,uk	200/3/індекс	404/-	404/-	0	12	11.4	
k.ua	WooCommerce,WordPress	200	607089	ні	6.1	https://k.ua/		39	72		https://k.ua/tovar/mmsw-bmpr-ss-or/	True	True	True	12	62	100	True	Бомбер MMSW SS оранж onesize	False	uk		200/5/індекс	404/-	404/0	2	11	21.7	
brenda.ua	OpenCart	200	78413	ні	3.1	https://brenda.ua/verhnij-odyag	ні	24	25	/page-2,/page-3	https://brenda.ua/aninadin-1160	False	False	True							uk		200/0/індекс	404/-	200/-	0	9	17.2	картка не знайдена серед 25 кандидатів
devari.com.ua	OpenCart	200	52713	ні	3.3	https://devari.com.ua/odyag/plattya/	ні	0	24	?page=2,?page=3,?page=4,?page=5,?page=6,?page=7	https://devari.com.ua/odyag/plattya/maksi-1/	False	False	True	0	78	7	False	Максі	False	UA	uk-RU,uk-UA,x-default	200/0	404/-	404/-	0	0	10.4	
twice.com.ua	PrestaShop,Хост:cloudflare	200	354470	ні	6.1	https://twice.com.ua/23-verkhnij-odyag	ні	18	30	?page=2,?page=3+ще	https://twice.com.ua/trenchi/3953-108962-trench-z-visokoyu-gorlovinoyu-uteplenij-ow006.html	True	True	True	2	364	148	False	Тренч з високою горловиною утеплений OW006	False	uk-UA		200/1/індекс	404/-	404/-	0	32	20.2	
provenceshop.com.ua	?	200	267351	так	13.7	https://provenceshop.com.ua/ua		9	33		https://provenceshop.com.ua/ua/products/zhenskij-vyazanyj-kardigan-oliviya-koritsa	True	False	True	10	73	23	True	Жіночий в'язаний кардиган Олівія кориця	False	uk	uk,x-default	200/948	404/-	404/-	0	33	29.4	
natali-style.com.ua	OpenCart,Хост:cloudflare	200	64749	ні	3.4	https://natali-style.com.ua/verhnij-odyag/	ні	22	23	?limit=+ще	https://natali-style.com.ua/index.php?route=product/product&path=1179&product_id=190	False	False	True							uk		200/0	404/-	404/-	0	0	15.2	картка не знайдена серед 23 кандидатів
cultboutique.com.ua	?	200	319136	ні	3.5	https://cultboutique.com.ua/ua/catalog/obuv	ні	24	27	/page-2,/page-27,/page-3,/page-4,/page-5,/page-6	https://cultboutique.com.ua/ua/products/000034282	False	False	False							uk	ru,uk	200/2374	404/-	404/-	1	18	18.1	картка не знайдена серед 27 кандидатів
intimo.com.ua	WordPress,Хост:cloudflare	200	1657365	ні	4.0	https://www.intimo.com.ua/ua/zhinochi-kaptsi/	так	0	0												uk	en-UA,ru-UA,uk-UA,x-default	403/0	403/-	403/-	0	2	72.7	картка не знайдена серед 0 кандидатів
kasandra.ua	Хорошоп,Хост:cloudflare	200	279303	ні	4.1	https://kasandra.ua/		16	16		https://kasandra.ua/baletky-horikhovi-z-naturalnoho-spylku-zamshi/3891/	False	True	True	0	32	19	False	Балетки горіхові з натурального спилку-замші	False	uk	en,uk	200/2/індекс	404/-	404/-	0	6	10.6	
otaje.com	WordPress,Nuxt,Хост:cloudflare	200	578396	ні	3.5	https://otaje.com/catalog/sukni/	ні	12	14	?page=2	https://otaje.com/suknya-na-bretelyah-fleur/	False	False	False							uk	en-UA,ru-UA,uk-UA,x-default	200/570	404/-	404/-	0	23	50.5	картка не знайдена серед 14 кандидатів
vilni.store	Хорошоп,Хост:cloudflare	200	394457	ні	5.1	https://vilni.store/		31	64		https://vilni.store/sale_suknia-lliana-casablanca-bezhevyi-46/	False	True	True	0	96	49	False	Сукня лляна Касабланка бежевий 46 АКЦІЯ	False	uk	en,uk	200/3/індекс	404/-	404/-	0	12	12.7	
vmma.com.ua	OpenCart	200	53456	ні	3.7	https://vmma.com.ua/jeans	ні	12	13	?limit=,?page=2	https://vmma.com.ua/dzhynsy-pryami-syni-vysoka-posadka-osin	True	True	True	3	24	26	True	Джинси прямі кольору індіго	False	ua	en,ru,uk	200/0	404/-	404/-	0	8	11.8	
vovk.com	OpenCart,Хост:cloudflare	200	164503	ні	3.6	https://vovk.com/ua/		10	22		https://vovk.com/ua/shorti-z-kostjumnoi-tkanini-molochni/	True	True	True	43	42	36	True	Молочні костюмні шорти	False	uk	en,ru-ua,uk,x-default	200/4/індекс	404/-	404/-	0	4	7.0	
honchstudio.com	Shopify	200	885581	ні	16.0	https://honchstudio.com/products/beret-jeans-paris	ні	0	9		https://honchstudio.com/products/choker-aelin-ab	False	True	False	11	21	72	False	Чокер Аеліна зі стразами в кольорі полярного сяйва	False	uk-UA		200/5/індекс	200/5	400/-	0	51	37.3	
solmar.com.ua	Bitrix	200	329635	ні	5.2	https://solmar.com.ua/ua/catalog/shtani/	ні	1	28	+ще	https://solmar.com.ua/ua/solmar-club/	False	False	True	0	4	44	False		False	ua	pl-PL,ru-UA,uk-PL,uk-UA	200/7/індекс	404/-	404/-	0	6	15.2	
welfare.ua	OpenCart	200	107805	так	13.7	https://welfare.ua/		29	30		https://welfare.ua/female-shoes/shoes/1-22128-47-341-taupe-2026-2027	True	True	True	39	14	37	False	Човники жіночі Tamaris 1-22128-47 341 TAUPE (2026-2027)	False	ua	ru,uk,x-default	200/7/індекс	404/-	200/-	0	1	30.1	
feelyou.com.ua	WooCommerce,WordPress,Хост:cloudflare	200	383808	так	16.2	https://feelyou.com.ua/shop/trench-beverli-1-05m-koloru-nebesnyj	так	0	6	?p=2686	https://feelyou.com.ua/product-category/lliana-kolektsiia-2026	False	False	True	2	28	42	False	Лляна колекція · 2026	False	uk		404/0	404/-	200/5	2	24	101.3	
